,SA1_7DIGITCODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
34408,3108601.0,43,2000,758,398,2229,0.7,2018,2.9
34409,3108603.0,39,2500,693,483,2611,0.7,2583,3.2
34410,3108604.0,34,1950,990,410,2341,0.7,2178,3.0
34411,3108605.0,39,1913,804,428,2258,0.7,2148,3.1
34412,3108611.0,45,2600,784,450,2785,0.7,2722,3.1
34413,3108612.0,45,1874,697,380,1847,0.7,1516,2.7
34414,3108613.0,42,2000,725,385,1895,0.7,1836,2.9
34415,3108614.0,40,2000,677,443,2380,0.8,2345,3.1
34416,3108615.0,42,1950,827,435,1930,0.7,1792,2.5
34417,3108618.0,34,2398,993,470,2625,0.8,2583,3.3
34418,3108619.0,33,2312,966,450,2640,0.8,2656,3.5
34419,3108620.0,53,1563,598,448,1220,0.7,1006,2.1
34420,3108621.0,33,1755,643,390,1910,0.7,1687,2.8
34421,3108622.0,38,2000,791,465,1988,0.7,2013,2.9
34422,3108623.0,31,1980,900,410,2012,0.7,1949,2.8
34423,3108624.0,30,2500,854,327,2156,0.8,1974,3.3
34424,3108625.0,31,2600,1061,500,2577,0.8,2635,3.3
34425,3108626.0,0,0,0,0,0,0.0,0,0.0
34426,3108627.0,38,2167,789,483,2444,0.8,2422,3.4
34427,3108628.0,39,2180,842,435,2750,0.8,2714,3.4
34428,3108629.0,33,1800,809,390,1941,0.8,1785,2.9
34429,3108630.0,33,2000,831,400,2105,0.7,2011,2.9
34430,3108631.0,42,2054,830,475,2176,0.8,2152,2.9
34431,3108632.0,40,2400,865,370,2594,0.8,2528,2.9
34432,3108633.0,38,2492,929,470,2399,0.7,2359,3.0
34433,3108634.0,31,2350,830,440,3023,0.9,3022,3.8
34434,3108635.0,36,1804,766,375,1647,0.7,1441,2.7
34435,3108701.0,50,2167,1031,0,2125,0.6,2125,2.6
34436,3108702.0,43,2650,785,400,2392,0.7,2050,2.9
34437,3108703.0,42,2288,918,525,2827,0.7,2843,3.4
34438,3108704.0,46,2510,895,665,2485,0.7,2583,3.3
34439,3108705.0,40,2080,738,620,2683,0.8,2416,3.0
34440,3108706.0,75,2750,572,145,2071,0.8,985,1.8
34441,3108707.0,41,2167,916,300,2055,0.8,1895,2.7
34442,3108708.0,43,3384,1067,595,4024,0.7,3908,3.3
34443,3108709.0,42,2221,791,600,3166,0.8,2916,3.3
34444,3108710.0,45,2000,735,0,3036,0.7,2874,3.1
34445,3108711.0,43,2383,964,750,3214,0.7,3094,3.2
34446,3108713.0,45,2500,923,325,3150,0.7,2722,2.8
34447,3108714.0,46,3400,819,420,3285,0.7,3107,3.1
34448,3108715.0,47,2550,880,288,2821,0.8,2700,2.9
34449,3108716.0,44,3250,1034,600,3356,0.7,3316,3.3
34450,3108717.0,45,2399,702,645,2750,0.7,2650,3.1
34451,3108718.0,43,2167,926,525,2874,0.7,2625,2.9
34452,3108719.0,71,2084,843,200,3312,0.9,1275,2.3
34453,3108720.0,43,3425,912,450,3611,0.7,3583,3.3
34454,3108721.0,43,2350,677,443,1781,0.6,1562,2.4
34455,3108801.0,42,2600,944,530,2944,0.7,2722,2.9
34456,3108802.0,47,1867,900,750,3050,0.7,2437,2.8
34457,3108803.0,36,2000,866,573,2874,0.8,2535,3.3
34458,3108804.0,42,2000,957,670,3200,0.7,2833,2.9
34459,3108805.0,41,2500,958,551,2963,0.7,2687,2.9
34460,3108806.0,41,2600,992,590,2954,0.7,2727,3.0
34461,3108807.0,41,2480,987,580,2625,0.8,2625,2.9
34462,3108808.0,34,2130,872,440,2092,0.7,1692,2.4
34463,3108809.0,39,2000,865,460,2304,0.7,2096,2.8
34464,3108810.0,40,2167,717,495,2222,0.7,2037,2.8
34465,3108811.0,40,2125,822,455,2678,0.7,2307,2.9
34466,3108812.0,39,2106,777,460,2259,0.7,2136,2.6
34467,3108813.0,39,2492,729,485,2666,0.7,1952,2.8
34468,3108814.0,43,2167,674,420,1937,0.8,1853,3.0
34469,3108815.0,36,2167,1008,405,2666,0.8,2175,2.6
34470,3108816.0,45,4550,1187,685,4250,0.6,3083,2.6
34471,3108817.0,42,2414,989,628,3083,0.7,3045,2.9
34472,3108818.0,43,2800,837,0,3729,0.8,3666,3.4
34473,3108819.0,44,2600,906,700,3232,0.7,3115,3.3
34474,3108820.0,44,2161,804,490,2399,0.7,2272,2.9
34475,3108821.0,45,2000,991,750,3349,0.7,3349,3.0
34476,3108822.0,43,2000,917,508,2575,0.7,2327,2.8
34477,3108823.0,41,1918,943,560,2729,0.7,2562,3.0
34478,3108824.0,38,1950,765,498,2299,0.8,2166,3.0
34479,3108901.0,43,2466,947,565,2750,0.7,2545,2.9
34480,3108903.0,37,3650,1157,350,4125,0.8,4156,3.4
34481,3108904.0,38,2600,1002,460,2781,0.8,2559,3.1
34482,3108905.0,41,3200,988,658,3568,0.7,3374,3.1
34483,3108906.0,40,2400,936,488,2843,0.7,2597,3.0
34484,3108907.0,45,2500,955,575,2949,0.7,2812,2.9
34485,3108908.0,39,2199,959,600,2892,0.8,2478,3.0
34486,3108909.0,38,3384,953,530,4111,0.8,3874,3.5
34487,3108910.0,39,2600,1265,1120,4100,0.8,4075,3.6
34488,3109001.0,39,2000,782,450,2240,0.7,1823,2.7
34489,3109002.0,38,2102,900,425,2343,0.8,2088,2.7
34490,3109003.0,36,2100,616,461,1660,0.8,1578,2.9
34491,3109004.0,47,2084,720,515,2178,0.7,1562,2.3
34492,3109005.0,37,2100,851,510,2294,0.7,2163,2.8
34493,3109006.0,40,2379,826,463,2299,0.8,2075,2.6
34494,3109007.0,43,2184,852,450,2294,0.7,1918,2.6
34495,3109008.0,48,2167,905,450,2528,0.7,2269,2.7
34496,3109009.0,37,1842,744,435,1705,0.7,1432,2.6
34497,3109010.0,38,2167,897,460,2437,0.7,2125,2.8
34498,3109011.0,39,2184,780,440,2089,0.8,1937,2.8
34499,3109012.0,41,2000,804,455,2166,0.8,1892,2.8
34500,3109013.0,43,1767,748,465,2194,0.7,1660,2.6
34501,3109014.0,39,2113,772,450,2136,0.8,1910,2.9
34502,3109015.0,32,3050,977,740,3774,0.8,3613,3.5
34503,3109016.0,40,2200,894,500,2971,0.8,2568,3.1
34504,3109017.0,42,2383,940,495,2640,0.7,2437,2.9
34505,3109018.0,38,2500,855,460,2457,0.7,2333,3.0
34506,3109019.0,39,2167,900,460,2333,0.7,2067,2.7
34507,3109101.0,79,1245,693,181,1875,0.7,1068,1.9
34508,3109102.0,49,2687,850,375,2833,0.7,2666,2.8
34509,3109103.0,37,2292,1077,450,2733,0.8,2703,3.3
34510,3109104.0,47,2167,820,450,2340,0.7,2150,2.9
34511,3109105.0,45,2500,984,500,3474,0.7,3166,3.1
34512,3109106.0,42,2600,881,803,3698,0.8,3663,3.5
34513,3109107.0,40,3000,1146,615,3194,0.9,3218,3.3
34514,3109108.0,42,3000,930,600,3154,0.7,3154,3.2
34515,3109109.0,43,1878,846,480,2269,0.7,2395,3.0
34516,3109110.0,42,2875,1084,713,3305,0.8,3125,3.2
34517,3109111.0,42,2124,858,450,2728,0.8,2660,3.0
34518,3109112.0,38,3000,911,813,3125,0.8,3125,3.4
34519,3109201.0,45,1950,900,415,2250,0.7,1890,2.5
34520,3109202.0,35,2500,969,460,2803,0.8,2473,3.0
34521,3109203.0,33,2500,919,435,2853,0.9,2729,3.1
34522,3109204.0,42,2560,949,415,2474,0.7,2067,2.6
34523,3109205.0,36,2383,1059,520,3166,0.9,2865,3.1
34524,3109206.0,37,2750,823,465,2899,0.8,2591,2.9
34525,3109207.0,36,2655,883,440,2791,0.8,2312,2.9
34526,3109208.0,37,2134,1089,525,3094,0.8,2714,2.8
34527,3109209.0,44,3033,764,395,3516,0.8,2196,2.9
34528,3109210.0,43,2350,934,573,3312,0.8,2650,2.9
34529,3109211.0,44,2909,1121,750,3444,0.7,3083,2.9
34530,3109212.0,36,2700,791,350,3562,0.7,2214,2.6
34531,3109213.0,37,2600,904,340,3343,0.8,2591,3.0
34532,3109214.0,34,2000,1051,473,2717,0.8,2296,2.7
34533,3109215.0,34,2200,1004,455,2819,0.9,2555,3.0
34534,3109216.0,36,2450,844,430,2609,0.9,2296,2.8
